index,text,score,label,volcano_label,confidence_score,predicted_sentiment,predicted_confidence_score
30,写得好！,0.653,positive,positive,0.9,positive,0.955
31,图4博主的T恤文化衫的英文意思是：投资你自己 伯克希尔2024  下边的 brooks在这里大概是“涓涓细流汇成海”的意思。,0.991,positive,neutral,0.5,positive,0.921
32,追随，是最隆重的认可！认可，即当践行。,0.997,positive,positive,0.85,positive,0.975
33,你让我看到了书架的内涵，也看到了成功的后背，thank you!,0.148,negative,positive,0.88,positive,0.975
34,乐趣大哥这观景房无敌了,0.962,positive,positive,0.95,positive,0.964
35,“追随，是最隆重的赞美”，永远的偶像，永远神一样的存在——巴菲特！,1.0,positive,positive,0.98,positive,0.981
36,追随是最隆重的赞美👍,0.982,positive,positive,0.9,positive,0.981
37,追随，是最隆重的赞美,0.984,positive,positive,0.85,positive,0.981
38,追随，是最隆重的赞美！追随芒格、巴菲特、大道。,1.0,positive,positive,0.92,positive,0.979
39,乐趣现在没人讲茅台了，能讲讲你现在对茅台的心态吗,0.991,positive,neutral,0.5,positive,0.939
40,开悟，世界就会化繁为简！“追随，是最隆重的赞美”致敬！,1.0,positive,positive,0.93,positive,0.977
41,悟,0.692,positive,neutral,0.5,neutral,0.514
42,我35岁皈依乐趣投资思想，一切以茅台为准，不知何时茅台能给我一击的机会。现在37岁，拿着飞鹤等茅台,0.998,positive,neutral,0.5,positive,0.932
43,乐趣叔今年去参会了吗,0.987,positive,neutral,0.5,positive,0.914
44,随着生物医学的发展长命150岁不是梦,0.944,positive,positive,0.7,positive,0.944
45,知行合一，矢志不渝,0.802,positive,positive,0.85,positive,0.965
46,乐趣大哥的真诚也让我们感动和鼓舞！,0.99,positive,positive,0.9,positive,0.981
47,我书房里最显眼的位置，目前依旧摆着写他的书和他写的致股东信。它们静静地默默地矗立着，我相信且明白，自己能有一个独立且自由的半世人生，这些书籍是泉源。  “追随，是最隆重的赞美”！,1.0,positive,positive,0.95,positive,0.975
48,追随,0.875,positive,neutral,0.5,positive,0.965
49,追随巴菲特,0.996,positive,positive,0.75,positive,0.954
50,我今年45，也十分喜欢巴菲特和芒格,0.944,positive,positive,0.8,positive,0.969
51,衷心祝愿巴菲特长命百岁！！！,0.965,positive,positive,0.95,positive,0.905
52,市面上关于巴菲特的书都被你收藏了,0.998,positive,neutral,0.5,positive,0.935
53,追随，是最隆重的赞美”,0.984,positive,positive,0.9,positive,0.977
54,乐趣老师是我们现实版的投资大师和灵魂老师，跟随您的人生境界和投资思路！巴菲特、查理芒格两位老人是世界上最伟大的投资人！他们的思想永远激励着人们前行，永远追随他们的思想，他们的投资理念！伯克希尔股票几天以后就会收复前期高点！,1.0,positive,positive,0.98,positive,0.963
55,向巴菲特致敬 。向乐趣致敬！,1.0,positive,positive,0.92,positive,0.982
56,换我挣那么多，我也去，就像看演唱会一样，电视也能看，就是要那氛围，那回忆,0.957,positive,positive,0.75,positive,0.96
57,心向往之！加油💪,0.99,positive,positive,0.85,positive,0.958
58,满架的书说明了对巴菲特的崇拜,0.993,positive,positive,0.88,positive,0.974
59,大牛🐮,0.606,positive,positive,0.8,positive,0.757
60,老乐洞府真美,0.68,positive,positive,0.85,positive,0.967
61,感谢分享！,0.896,positive,positive,0.95,positive,0.923
62,按巴菲特原来的持股，不捐赠的话（当然捐赠是好的），巴菲特仍然是首富,0.999,positive,neutral,0.5,positive,0.943
63,他的愿望是成为最长寿的人。,0.838,positive,neutral,0.5,positive,0.965
64,"""别人眼中的你不是你，你眼中的别人才是你自己""",0.65,positive,neutral,0.5,positive,0.939
65,乐趣大哥，我有个好奇的问题，您用手机带壳吗？,0.88,positive,neutral,0.5,positive,0.943
66,我今年45,0.3,negative,neutral,0.5,neutral,0.505
67,祝贺林总成功！祝福林总好命！祝愿林总健康！,1.0,positive,positive,0.98,positive,0.975
68,乐趣就是乐趣，一直无私的在分享，思想丰富，财富丰富，品德同样厚重！真心的说一声，感谢！,1.0,positive,positive,0.99,positive,0.978
69,invest in yourself,0.5,neutral,positive,0.85,neutral,0.497
70,Repost,0.5,neutral,neutral,0.5,neutral,0.496
71,乐趣大佬投资很成功了，身体方面继续坚持低碳生酮加轻断食加运动就OK,0.999,positive,positive,0.85,positive,0.968
72,追随是最隆重的赞美,0.984,positive,positive,0.9,positive,0.982
73,因为博主的微博我看了穿过迷雾和穷查理宝典，真的受益匪浅,1.0,positive,positive,0.88,positive,0.971
74,看得出来，乐趣老师对大道也是隆重的赞美,0.999,positive,positive,0.89,positive,0.98
75,乐兄，买个室内高尔夫，你这个落地窗不挖两锄头，浪费呀,0.745,positive,neutral,0.45,positive,0.91
76,健康长生最可贵。生活和投资一样，认准了道理就执行，简单的事情重复做。而且很自信。如同巴菲特一样。他知道他走了后。股票必定大跌。,1.0,positive,neutral,0.5,positive,0.96
77,每一张都是明信片哇,0.342,negative,positive,0.87,positive,0.849
78,都好好看，每一张照片都好看,0.803,positive,positive,0.92,positive,0.972
79,参与,0.75,positive,neutral,0.5,positive,0.944
80,阿光老师拍的就是好看，这部手机好心动哈哈哈,0.994,positive,positive,0.93,positive,0.973
81,真不错啊  也想拍出这种感觉,0.874,positive,positive,0.85,positive,0.959
82,我我我,0.526,neutral,neutral,0.5,neutral,0.541
83,上次的奶茶没抽吧,0.941,positive,neutral,0.5,positive,0.878
84,好厉害,0.491,neutral,positive,0.9,positive,0.771
85,好看,0.711,positive,positive,0.8,positive,0.971
86,好看好看,0.845,positive,positive,0.85,positive,0.973
87,太厉害了vivo太厉害了潜光,0.049,negative,positive,0.95,negative,0.194
88,盛夏 #vivo创作者计划# 不能没有viovo呀～,0.25,negative,positive,0.8,negative,0.22
89,什么系统呢？,0.359,negative,neutral,0.5,negative,0.165
90,来咯,0.464,neutral,neutral,0.5,neutral,0.539
91,确实真的挺不错的，和📷拍出来的照片差不了多少了,0.951,positive,positive,0.85,positive,0.94
92,必定是我,0.6,neutral,neutral,0.5,neutral,0.512
93,幸运一夏,0.859,positive,positive,0.75,positive,0.921
94,耶耶耶,0.5,neutral,positive,0.9,neutral,0.543
95,啊啊,0.75,positive,neutral,0.5,positive,0.79
96,哇，我也想拥有,0.882,positive,positive,0.7,positive,0.964
97,抽我,0.303,negative,neutral,0.5,negative,0.19
98,我都严重怀疑这是相机拍的了,0.32,negative,positive,0.8,negative,0.168
99,参与,0.75,positive,neutral,0.5,positive,0.944
100,参与,0.75,positive,neutral,0.5,positive,0.944
101,滴滴,0.25,negative,neutral,0.5,negative,0.212
102,早,0.523,neutral,neutral,0.5,neutral,0.513
103,第二张封神之作,0.36,negative,positive,0.95,positive,0.828
104,来啦,0.526,neutral,neutral,0.5,neutral,0.532
105,Vivo什么时候拍摄那么好了🙉,0.788,positive,positive,0.85,positive,0.886
106,来了来了,0.833,positive,neutral,0.5,neutral,0.507
107,好米,0.635,positive,positive,0.8,positive,0.868
108,太漂亮了，这次的画质好强,0.905,positive,positive,0.9,positive,0.967
109,#用照片记录生活#,0.368,negative,neutral,0.5,negative,0.21
110,#分享照片#,0.226,negative,neutral,0.5,negative,0.221
111,好好看 第一眼以为是相机拍的,0.665,positive,positive,0.9,positive,0.95
112,来咯,0.464,neutral,neutral,0.5,neutral,0.539
113,生活中的各色光景尽收眼底,0.995,positive,neutral,0.5,positive,0.964
114,最强广角,0.647,positive,positive,0.75,positive,0.945
115,哇啦啦啦,0.526,neutral,positive,0.85,neutral,0.487
116,真不错，看着超赞的,0.956,positive,positive,0.95,positive,0.974
117,揪我揪我,0.89,positive,neutral,0.5,positive,0.843
118,太美了吧,0.74,positive,positive,0.92,positive,0.947
119,看好第14张,0.156,negative,neutral,0.5,positive,0.791
120,好看啊,0.711,positive,positive,0.88,positive,0.964
121,真的超喜欢你拍的照片,0.629,positive,positive,0.95,positive,0.967
122,阿光，新手学生党适合什么相机啊,0.834,positive,neutral,0.5,positive,0.905
123,拍的好好,0.521,neutral,positive,0.92,positive,0.781
124,来咯,0.464,neutral,neutral,0.5,neutral,0.539
125,记录,0.658,positive,neutral,0.5,positive,0.796
126,太美噜～,0.345,negative,positive,0.97,positive,0.942
127,选我选我,0.749,positive,positive,0.8,positive,0.898
128,嘿嘿希望能记录生活！,0.942,positive,positive,0.85,positive,0.964
129,第七张简直绝了绝了绝了,0.028,negative,positive,0.99,negative,0.174
130,以实际行动支持,0.627,positive,positive,0.89,positive,0.96
131,是我,0.526,neutral,neutral,0.5,neutral,0.541
132,五月的天 刚诞生的夏天～抽我记录盛夏,0.954,positive,neutral,0.5,positive,0.949
133,改天试试vivoX200 Ultra演唱会模式,0.772,positive,neutral,0.5,positive,0.94
134,这部手机好适合演唱会啊啊啊啊啊，我真的好需要，7.12要去杭州,0.989,positive,positive,0.85,positive,0.927
135,关注很久的一个博主啦，微信也是加了很久，拍照杠杠滴！出的书也杠杠滴！宝藏主包！,0.997,positive,positive,0.95,positive,0.955
136,太好看了呜呜🥹,0.509,neutral,positive,0.9,positive,0.949
137,一直想要一台胶片相机，潜光捞捞我,0.977,positive,neutral,0.5,positive,0.93
138,来啦来啦从绿泡泡过来啦关注好久啦 本人私下也很喜欢拍照😍过来参加抽奖活动🥺🆒,0.932,positive,positive,0.7,positive,0.945
139,来噜来噜 参加抽奖呐,0.742,positive,neutral,0.5,positive,0.903
140,学生党就差一台胶片机呢// @潜光i :关注我，转➕评赞 【原博】 微博正文 ，5/23抽 2台胶片相机，拿去记录盛夏吧^_^📷,0.94,positive,neutral,0.5,positive,0.94
141,拍的好好,0.521,neutral,positive,0.8,positive,0.781
142,拍的好棒呀 喜欢11张,0.66,positive,positive,0.85,positive,0.962
143,想要,0.544,neutral,neutral,0.5,neutral,0.524
144,想要,0.544,neutral,neutral,0.5,neutral,0.524
145,不错,0.861,positive,positive,0.7,positive,0.922
146,感觉这手机很好，背后的人更是赋予他更多的生命,0.999,positive,positive,0.85,positive,0.974
147,太会拍啦！,0.452,neutral,positive,0.9,positive,0.878
148,你好潜光,0.505,neutral,neutral,0.5,neutral,0.505
149,哎该说不说vivo拍人像真的挺不错的,0.74,positive,positive,0.75,positive,0.959
150,来啦～,0.553,neutral,neutral,0.5,neutral,0.507
151,啊啊啊啊啊胶片相机呀,0.963,positive,positive,0.75,positive,0.847
152,啊啊啊啊拜托拜托！,0.774,positive,neutral,0.5,positive,0.892
153,嘻嘻嘻,0.944,positive,positive,0.85,positive,0.888
154,了解一下,0.526,neutral,neutral,0.5,neutral,0.512
155,太有氛围感了,0.731,positive,positive,0.8,positive,0.958
156,12好看,0.521,neutral,positive,0.75,positive,0.949
157,图1好美,0.869,positive,positive,0.85,positive,0.96
158,太美了,0.74,positive,positive,0.9,positive,0.95
159,抽我,0.303,negative,neutral,0.5,negative,0.19
160,我又来了,0.526,neutral,neutral,0.5,neutral,0.517
161,奖品名称：胶片相机*2人；抽奖时间：2025-05-23 23:30:00；抽奖规则： 抽奖详情,0.967,positive,neutral,0.5,positive,0.871
162,拍的不错,0.837,positive,positive,0.7,positive,0.905
163,半年后还能有这成像素质都是个问题,0.074,negative,negative,0.25,positive,0.853
164,太美,0.74,positive,positive,0.95,positive,0.944
165,拍的真好,0.615,positive,positive,0.85,positive,0.933
166,罚的真的太过了,0.527,neutral,negative,0.2,neutral,0.51
167,为众人抱薪者，不可使其冻毙于风雪,0.586,neutral,positive,0.8,positive,0.873
168,做出这些判决的人已经很明显和什么人是同一类了吧,0.849,positive,negative,0.22,positive,0.838
169,心里就是很替她们难过。。 大家原本自由的创作，就这样全部被禁锢了 一切情感上的抒发难道一涉及到床上就全部悚然地中断吗，文字再也无法自由地流淌,1.0,positive,negative,0.15,positive,0.97
170,大家都在互相扶持帮助发声真的好想哭,0.965,positive,positive,0.9,positive,0.97
171,人人自危。。,0.81,positive,negative,0.1,positive,0.782
172,希望六月大家一切安好！！希望那些努力生活的人迎来自己的曙光！,0.935,positive,positive,0.92,positive,0.958
173,看得好难过,0.644,positive,negative,0.15,positive,0.957
174,看哭了,0.754,positive,negative,0.1,positive,0.921
175,希望努力生活的人不用再面对深渊 #努力工作#,0.951,positive,positive,0.75,positive,0.882
176,大大我们永远追随你,0.933,positive,positive,0.95,positive,0.975
177,才刷到这张图……,0.523,neutral,neutral,0.5,neutral,0.487
178,感觉这件事好多人知道并且发声，但就是没在热搜榜看到过，你说怪不怪,0.073,negative,neutral,0.45,positive,0.805
179,哎呀,0.526,neutral,neutral,0.5,neutral,0.536
180,最近太多事都看得让人难过 创作被施以刑罚 该被严惩的人却逍遥法外，原来不公是真不公啊,0.985,positive,negative,0.05,positive,0.936
181,看着看着就哭了，真的现在文字创作环境太难了。希望终有一日大家都可以于笔端抒其所想畅所欲言,0.995,positive,negative,0.25,positive,0.979
182,远洋捕捞 ，违规审问，这是违法的！不应该这样对拥有创造力的太太们,0.107,negative,negative,0.15,positive,0.861
183,我真的受不了了,0.548,neutral,negative,0.08,neutral,0.492
184,第一次刷到的时候，不懂这个漫画深层次的意思是什么。当我了解背景故事的时候，原来我爱的漫画家在为这件事情发声啊,0.968,positive,positive,0.82,positive,0.956
185,看到这个，真的很想哭！！,0.729,positive,negative,0.12,positive,0.951
186,荒诞文学变成现实,0.901,positive,neutral,0.5,positive,0.96
187,哭了,0.705,positive,negative,0.1,positive,0.857
188,支持,0.627,positive,positive,0.9,positive,0.945
189,麻尾也是特别特别好的女孩子!!!,0.694,positive,positive,0.97,positive,0.964
190,敬创作，敬自由。,0.998,positive,positive,0.93,positive,0.979
191,第一千条评论，感慨万千,0.839,positive,neutral,0.5,positive,0.951
192,支持⬆️,0.602,positive,positive,0.8,positive,0.932
193,想哭了,0.72,positive,negative,0.2,positive,0.93
194,老师我真的要爱你一辈子了,0.985,positive,positive,0.95,positive,0.957
195,支持，我们读者也希望老师们都能够好好的，是真心喜欢这些作品,0.997,positive,positive,0.9,positive,0.981
196,呜呜呜，一下就看懂了，好难过,0.641,positive,negative,0.15,positive,0.938
197,……谁懂啊，忍了好几天看到这个漫画算是彻底哭崩了,0.406,neutral,negative,0.1,positive,0.834
198,我去,0.513,neutral,neutral,0.5,neutral,0.537
199,愿真心创作努力生活的人不用再面对深渊,0.999,positive,positive,0.85,positive,0.979
200,我们麻尾老师还是太牛了 上次妇女节就给我留下了深刻的印象 真的要哭了,0.983,positive,positive,0.92,positive,0.972
201,好难过 都是一群努力活着小女孩们啊 // @麻尾 :心里堵得慌，希望揣着真心努力生活的人再也不要面对深渊！,1.0,positive,negative,0.1,positive,0.977
202,一开始觉得这个解决好幸福，后来看懂后真的要泪目了,0.729,positive,positive,0.65,positive,0.967
203,唉，,0.526,neutral,negative,0.15,neutral,0.523
204,真的不理解，明明只是文学创作 真的至于这些罪名吗 看着她们好心痛啊,0.921,positive,negative,0.08,positive,0.975
205,真的很痛心,0.84,positive,negative,0.05,positive,0.956
206,家暴的，代孕的，以及之前那个赈灾款的都不管，管一个写文的,0.71,positive,negative,0.12,positive,0.899
207,看的很难受 为什么这个世界变成了这样,0.908,positive,negative,0.09,positive,0.961
208,创作自由,0.986,positive,neutral,0.5,positive,0.971
209,该进去的应该是那些真正犯错的人,0.483,neutral,negative,0.15,neutral,0.488
210,咦，我以为是我们省挖空自己给别人的故事哈哈，不过关于创作者的故事也很感动,0.996,positive,positive,0.75,positive,0.971
211,哦不 眼泪差点出来了,0.544,neutral,negative,0.1,neutral,0.508
212,看到你说的这句话莫名的想哭,0.507,neutral,negative,0.05,positive,0.954
213,愿有朝一日，不必临深渊，不必履薄冰,0.812,positive,positive,0.6,positive,0.901
214,@Chaeyoug_moka ：在我看文的过程中，0个女生被锁铁链当成泄欲工具，0个女生被拐卖进深山老林，0个女生被暴力殴打，0个女生被性侵，0个女生被出卖子宫代孕，0个未成年人受到负面影响，0个网络用户被相关弹窗打扰！我是中国公民，我反对对网文作者不合理的量刑！,0.993,positive,negative,0.25,positive,0.924
215,麻尾 希望大家都顺利呜呜呜，真的看的都要被气的晕过去了,0.784,positive,negative,0.15,positive,0.963
216,注意安全哦，大大,0.526,neutral,positive,0.8,positive,0.89
217,本该是都拥有美好的明天的，如今确实这样，希望大家都平平安安,0.963,positive,neutral,0.45,positive,0.969
218,回复 @步沈2024 :安详 计划 风雨后,0.992,positive,neutral,0.5,positive,0.967
219,回复 @步沈2024 : 奋斗 快乐 忧伤的眼泪,1.0,positive,neutral,0.5,positive,0.979
220,回复 @步沈2024 :,0.951,positive,neutral,0.5,positive,0.961
221,回复 @步沈2024 :,0.951,positive,neutral,0.5,positive,0.961
222,回复 @步沈2024 : 负责 目标 幸福的时刻,0.999,positive,positive,0.75,positive,0.977
223,回复 @步沈2024 :纯真 勇气 珍惜,0.999,positive,positive,0.8,positive,0.981
224,回复 @步沈2024 :,0.951,positive,neutral,0.5,positive,0.961
225,愿：真心创作、努力生活的人，不用再面对深渊,0.999,positive,positive,0.65,positive,0.977
226,泪流满面,0.643,positive,negative,0.2,positive,0.969
227,大家也要保护好自己,0.733,positive,positive,0.62,positive,0.964
228,我真哭了,0.708,positive,negative,0.15,positive,0.888
229,好心痛，这个世界已经癫的不认识了,0.981,positive,negative,0.05,positive,0.956
230,好心痛,0.622,positive,negative,0.1,positive,0.962
231,小女孩们,0.752,positive,neutral,0.5,positive,0.935
232,为爱发电，也有错吗,0.904,positive,neutral,0.5,positive,0.94
233,#广西天气#,0.107,negative,neutral,0.5,negative,0.257
234,@小狐狸想听五亿个小铃铛,0.985,positive,neutral,0.5,positive,0.97
235,@小狐狸想听五亿个小铃铛,0.985,positive,neutral,0.5,positive,0.97
236,麻尾又是你 我真的哭了啊 每次发声都是你 我爱你老师,0.989,positive,positive,0.9,positive,0.972
237,@汪牙圆圆 @Sunrisepuppy 呜呜,0.962,positive,negative,0.2,positive,0.95
238,哇,0.526,neutral,positive,0.7,neutral,0.541
239,支持原创,0.602,positive,positive,0.8,positive,0.972
240,好想哭 我好感动,0.981,positive,positive,0.9,positive,0.97
241,愿真心创作努力生活的人不用再面对深渊。,0.999,positive,positive,0.82,positive,0.98
242,// @麻尾 :心里堵得慌，希望揣着真心努力生活的人再也不要面对深渊！,0.998,positive,positive,0.75,positive,0.972
243,11,0.275,negative,neutral,0.5,negative,0.257
244,好美,0.912,positive,positive,0.94,positive,0.974
245,转发微博,0.644,positive,neutral,0.5,positive,0.962
246,深学笃行。,0.879,positive,neutral,0.5,positive,0.959
247,我爱你麻尾老师,0.946,positive,positive,0.97,positive,0.967
248,这个世界怎么了……唉,0.942,positive,negative,0.12,positive,0.829
249,不空腹做行不行，只有晚上有空，,0.059,negative,neutral,0.5,positive,0.801
250,希望创作者们能够放心创作，我们作为后盾力量会保护你们的。,0.999,positive,positive,0.88,positive,0.978
251,这个做完屁股胯胯骨酸痛,0.797,positive,negative,0.1,positive,0.927
252,男的也得练,0.54,neutral,neutral,0.5,positive,0.817
253,谢谢分享,0.85,positive,positive,0.85,positive,0.916
254,@红星闪闪小猪猪888,0.984,positive,neutral,0.5,positive,0.954
255,转发,0.5,neutral,neutral,0.5,positive,0.882
256,我属于收藏派，每次看见就想着先收藏，明天做,0.922,positive,neutral,0.5,positive,0.967
257,。,0.526,neutral,neutral,0.5,neutral,0.524
258,嗯,0.526,neutral,neutral,0.5,neutral,0.53
259,怎么非法安装摄像头的就成了找不到人呢，网上那么多片子还有未成年的，我不信他们看不到 要罚也是他们引导犯罪来的强,0.539,neutral,negative,0.05,positive,0.787
260,好喜欢麻尾大大么么么五小只超超超可爱！！！！！,0.687,positive,positive,0.98,positive,0.902
261,膝盖受不了 ！,0.436,neutral,negative,0.1,positive,0.847
262,有氧运动搭配着喝茶提高代谢，体重已经从130-96，用了三个月！目前正维持体重,0.037,negative,positive,0.85,positive,0.916
263,漂亮,0.9,positive,positive,0.95,positive,0.967
264,不怎么爱运动，生活化饮食每天多喝茶，从132-95，腰围细了16cm,0.986,positive,positive,0.8,positive,0.955
265,。。。,0.484,neutral,neutral,0.5,neutral,0.537
266,坚持,0.526,neutral,neutral,0.5,positive,0.852
267,运动起来,0.5,neutral,neutral,0.5,positive,0.9
268,白鹿的颜色戏真的好细，太喜欢了,0.919,positive,positive,0.88,positive,0.97
269,这段我觉得真的绝美啊,0.949,positive,positive,0.92,positive,0.976
270,啊,0.526,neutral,neutral,0.5,neutral,0.529
271,演技太好了，看得很心疼。,0.868,positive,positive,0.85,positive,0.974
272,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
273,破碎感,0.828,positive,neutral,0.5,positive,0.96
274,破碎感,0.828,positive,neutral,0.5,positive,0.96
275,演技细腻，情感真挚，每一个眼神都是故事，令人动容。,1.0,positive,positive,0.92,positive,0.979
276,白鹿好美啊，不够看,0.923,positive,positive,0.88,positive,0.955
277,太美了呜呜呜呜呜,0.74,positive,positive,0.9,positive,0.964
278,破碎感,0.828,positive,neutral,0.5,positive,0.96
279,超美的破碎感,0.928,positive,positive,0.75,positive,0.972
280,宝宝,0.743,positive,neutral,0.5,positive,0.922
281,好戳 真的哭了,0.686,positive,positive,0.85,positive,0.962
282,白鹿好美,0.903,positive,positive,0.95,positive,0.954
283,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
284,宝宝,0.743,positive,neutral,0.5,positive,0.922
285,好强的代入感,0.869,positive,positive,0.75,positive,0.974
286,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
287,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
288,男士这样也可吗？,0.65,positive,neutral,0.5,positive,0.92
289,鹿鹿,0.474,neutral,neutral,0.5,neutral,0.557
290,鹿鹿,0.474,neutral,neutral,0.5,neutral,0.557
291,好美,0.912,positive,positive,0.95,positive,0.974
292,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
293,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
294,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
295,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
296,代入感十足,0.889,positive,positive,0.85,positive,0.973
297,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
298,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
299,永远可以相信白鹿的演技实力,0.966,positive,positive,0.98,positive,0.969
300,啊，真的好美,0.936,positive,positive,0.97,positive,0.974
301,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
302,破碎阿月,0.677,positive,negative,0.3,positive,0.906
303,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
304,绝,0.614,positive,neutral,0.5,neutral,0.498
305,明明相爱为什么要相杀呢？,0.658,positive,negative,0.2,positive,0.909
306,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
307,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
308,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
309,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
310,#白鹿素妆破碎感# #白鹿素妆破碎感# #白鹿素妆破碎感# #白鹿素妆破碎感# #白鹿素妆破碎感# #白鹿素妆破碎感# #白鹿素妆破碎感# #白鹿素妆破碎感# #白鹿素妆破碎感#,0.0,negative,neutral,0.5,negative,0.278
311,#白鹿素妆破碎感#,0.26,negative,neutral,0.5,negative,0.242
312,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
313,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
314,你可以永远相信白鹿的演技，太带感了,0.869,positive,positive,0.92,positive,0.972
315,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
316,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
317,白鹿,0.5,neutral,neutral,0.5,neutral,0.576
318,#白鹿素妆破碎感#,0.26,negative,neutral,0.5,negative,0.242
319,谁懂那个眼神,0.776,positive,neutral,0.5,positive,0.891
320,运动起来,0.5,neutral,neutral,0.5,positive,0.9
321,✨期待【吴磊】领衔主演的【双男主】电影《东极岛》，期待热血少年男主【阿荡】！✨,1.0,positive,positive,0.95,positive,0.964
322,期待我们东极岛热血男主吴磊阿荡,0.993,positive,positive,0.94,positive,0.98
323,期待朱一龙,0.729,positive,positive,0.92,positive,0.979
324,期待一番大男主新电影《东极岛》，阿赑骨子里生来淌着无畏，他不知道什么是“大义”，只想救一个，再救一个。 #朱一龙电影东极岛# 我们暑期见！,0.952,positive,positive,0.96,positive,0.93
325,期待电影《东极岛》，期待朱一龙阿赑，2025暑期见 @朱一龙,0.996,positive,positive,0.945,positive,0.969
326,期待朱一龙！,0.729,positive,positive,0.93,positive,0.978
327,“少年热血，扬帆起航”期待领衔主演吴磊饰演的男主热血少年阿荡,1.0,positive,positive,0.955,positive,0.978
328,期待期待！ 期待朱一龙,0.915,positive,positive,0.96,positive,0.98
329,期待我们东极岛男主吴磊阿荡,0.971,positive,positive,0.94,positive,0.979
330,吴磊！主演！ 期待住了！ #吴磊阿荡# #吴磊电影东极岛#,0.996,positive,positive,0.97,positive,0.813
331,是哪天上映,0.357,negative,neutral,0.5,neutral,0.487
332,路演千万要放在七月初哦,0.848,positive,neutral,0.5,positive,0.876
333,期待【吴磊】领衔主演的【双男主】电影《东极岛》，期待热血少年【阿荡】！,1.0,positive,positive,0.85,positive,0.968
334,已经过去九个小时了，怎么还不定档！！！,0.312,negative,negative,0.2,negative,0.242
335,期待！,0.689,positive,positive,0.8,positive,0.962
